run_id,block,run_type,dataset_key,retriever,regime,model_key,ablation_group,components,disabled_metadata,top_k,alpha,beta,gamma,metric_n,metric_evidence_f1,metric_exact_evidence_hit,metric_invalid_retrieval_rate,metric_exact_accuracy,metric_relaxed_accuracy,metric_contradiction,metric_retrieved_chars,metric_prompt_chars,metric_latency_sec,metric_retrieval_sec,metric_gen_sec
C_llm_timebound_qwen25_coder_7b_semantic_recency_rag,C_main_llm_timebound,llm,timebound_long,,semantic_recency_rag,qwen25_coder_7b,,,,3,0.6,0.3,0.3,1000,0.2538,0.0,0.368,0.0,0.0,0.0,154.678,990.036,,0.0016684308052062988,0.36971779584884645
C_llm_timebound_qwen25_coder_7b_timebound_rag,C_main_llm_timebound,llm,timebound_long,,timebound_rag,qwen25_coder_7b,,,,3,0.6,0.3,0.3,1000,0.5415,0.0,0.15166666666666664,0.0,0.0,0.0,158.156,981.421,,0.0017783377170562744,0.5043903901576996
D_external_reader_complextr_mistral_7b_v03_query_only,D_external_diagnostics,llm,complextr,,query_only,mistral_7b_v03,,,,0,0.6,0.3,0.3,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.8206686930091,,7.181544434335819e-07,1.0695814513870285
D_external_reader_complextr_qwen25_7b_query_only,D_external_diagnostics,llm,complextr,,query_only,qwen25_7b,,,,0,0.6,0.3,0.3,329,0.0,0.0,0.0,0.0,0.03343465045592705,0.0,0.0,347.8206686930091,,6.797465872257314e-07,0.5376581783352652
D_external_reader_complextr_qwen25_coder_1p5b_query_only,D_external_diagnostics,llm,complextr,,query_only,qwen25_coder_1p5b,,,,0,0.6,0.3,0.3,329,0.0,0.0,0.0,0.0,0.0243161094224924,0.0,0.0,347.8206686930091,,6.956894709346504e-07,0.43522518601461024
D_external_reader_complextr_qwen25_coder_7b_query_only,D_external_diagnostics,llm,complextr,,query_only,qwen25_coder_7b,,,,0,0.6,0.3,0.3,329,0.0,0.0,0.0,0.0,0.030395136778115502,0.0,0.0,347.8206686930091,,6.188737585189495e-07,0.3663440902907073
D_external_reader_locomo_mistral_7b_v03_semantic_rag,D_external_diagnostics,llm,locomo,,semantic_rag,mistral_7b_v03,,,,3,0.6,0.3,0.3,500,0.023,0.0,0.0,0.002,0.008,0.004,388.452,1084.82,,0.001974881649017334,0.6499236655235291
D_external_reader_locomo_mistral_7b_v03_timebound_rag,D_external_diagnostics,llm,locomo,,timebound_rag,mistral_7b_v03,,,,3,0.6,0.3,0.3,500,0.023,0.0,0.0,0.002,0.008,0.004,388.452,1084.82,,0.0020597014427185057,0.6315615878105164
D_external_reader_locomo_qwen25_7b_semantic_rag,D_external_diagnostics,llm,locomo,,semantic_rag,qwen25_7b,,,,3,0.6,0.3,0.3,500,0.023,0.0,0.0,0.0,0.004,0.0,388.452,1215.82,,0.001913719654083252,0.9308111772537232
D_external_reader_locomo_qwen25_7b_timebound_rag,D_external_diagnostics,llm,locomo,,timebound_rag,qwen25_7b,,,,3,0.6,0.3,0.3,500,0.023,0.0,0.0,0.0,0.004,0.0,388.452,1215.82,,0.0019973878860473633,0.9587511715888977
D_external_reader_locomo_qwen25_coder_1p5b_semantic_rag,D_external_diagnostics,llm,locomo,,semantic_rag,qwen25_coder_1p5b,,,,3,0.6,0.3,0.3,500,0.023,0.0,0.0,0.0,0.004,0.0,388.452,1215.82,,0.0018684372901916504,0.2889844207763672
D_external_reader_locomo_qwen25_coder_1p5b_timebound_rag,D_external_diagnostics,llm,locomo,,timebound_rag,qwen25_coder_1p5b,,,,3,0.6,0.3,0.3,500,0.023,0.0,0.0,0.0,0.004,0.0,388.452,1215.82,,0.001975771903991699,0.2951257457733154
D_external_reader_locomo_qwen25_coder_7b_semantic_rag,D_external_diagnostics,llm,locomo,,semantic_rag,qwen25_coder_7b,,,,3,0.6,0.3,0.3,500,0.023,0.0,0.0,0.0,0.004,0.0,388.452,1215.82,,0.0019624619483947755,0.6218104019165039
D_external_reader_locomo_qwen25_coder_7b_timebound_rag,D_external_diagnostics,llm,locomo,,timebound_rag,qwen25_coder_7b,,,,3,0.6,0.3,0.3,500,0.023,0.0,0.0,0.0,0.004,0.0,388.452,1215.82,,0.00199278450012207,0.6161915497779846
D_external_reader_tcp_mistral_7b_v03_semantic_rag,D_external_diagnostics,llm,tcp,,semantic_rag,mistral_7b_v03,,,,3,0.6,0.3,0.3,600,0.14166666666666666,0.0,0.0,0.0,0.0016666666666666668,0.0,363.23,1154.695,,0.0010155216852823893,1.7832732319831848
D_external_reader_tcp_mistral_7b_v03_timebound_rag,D_external_diagnostics,llm,tcp,,timebound_rag,mistral_7b_v03,,,,3,0.6,0.3,0.3,600,0.14166666666666666,0.0,0.0,0.0,0.0016666666666666668,0.0,363.23,1154.695,,0.0010121548175811767,1.749888083934784
D_external_reader_tcp_qwen25_7b_semantic_rag,D_external_diagnostics,llm,tcp,,semantic_rag,qwen25_7b,,,,3,0.6,0.3,0.3,600,0.14166666666666666,0.0,0.0,0.0,0.0,0.0,363.23,1285.695,,0.001000978946685791,1.0270489823818207
D_external_reader_tcp_qwen25_7b_timebound_rag,D_external_diagnostics,llm,tcp,,timebound_rag,qwen25_7b,,,,3,0.6,0.3,0.3,600,0.14166666666666666,0.0,0.0,0.0,0.0,0.0,363.23,1285.695,,0.0009931560357411703,1.0089923123518625
D_external_reader_tcp_qwen25_coder_1p5b_semantic_rag,D_external_diagnostics,llm,tcp,,semantic_rag,qwen25_coder_1p5b,,,,3,0.6,0.3,0.3,600,0.14166666666666666,0.0,0.0,0.0,0.0,0.0,363.23,1285.695,,0.000953890085220337,0.33663809299468994
D_external_reader_tcp_qwen25_coder_1p5b_timebound_rag,D_external_diagnostics,llm,tcp,,timebound_rag,qwen25_coder_1p5b,,,,3,0.6,0.3,0.3,600,0.14166666666666666,0.0,0.0,0.0,0.0,0.0,363.23,1285.695,,0.0009844160079956054,0.33726935148239134
D_external_reader_tcp_qwen25_coder_7b_semantic_rag,D_external_diagnostics,llm,tcp,,semantic_rag,qwen25_coder_7b,,,,3,0.6,0.3,0.3,600,0.14166666666666666,0.0,0.0,0.0,0.0,0.0,363.23,1285.695,,0.0009685778617858887,0.4239615766207377
D_external_reader_tcp_qwen25_coder_7b_timebound_rag,D_external_diagnostics,llm,tcp,,timebound_rag,qwen25_coder_7b,,,,3,0.6,0.3,0.3,600,0.14166666666666666,0.0,0.0,0.0,0.0,0.0,363.23,1285.695,,0.0010152252515157063,0.4356104902426402
