run_id,block,run_type,dataset_key,dataset_path,retriever,regime,model_key,model_path,ablation_group,components,disabled_metadata,top_k,alpha,beta,gamma,limit,max_new_tokens,note
D_external_reader_tcp_qwen25_7b_timebound_rag,D_external_diagnostics,llm,tcp,converted_external_clean/tcp_timebound_clean.jsonl,,timebound_rag,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,,,,3,0.6,0.3,0.3,,64,External reader diagnostic with retrieval context
D_external_reader_tcp_mistral_7b_v03_semantic_rag,D_external_diagnostics,llm,tcp,converted_external_clean/tcp_timebound_clean.jsonl,,semantic_rag,mistral_7b_v03,models/mistralai__Mistral-7B-Instruct-v0.3,,,,3,0.6,0.3,0.3,,64,External reader diagnostic with retrieval context
D_external_reader_tcp_mistral_7b_v03_timebound_rag,D_external_diagnostics,llm,tcp,converted_external_clean/tcp_timebound_clean.jsonl,,timebound_rag,mistral_7b_v03,models/mistralai__Mistral-7B-Instruct-v0.3,,,,3,0.6,0.3,0.3,,64,External reader diagnostic with retrieval context
D_external_reader_locomo_qwen25_coder_1p5b_semantic_rag,D_external_diagnostics,llm,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,semantic_rag,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,,,,3,0.6,0.3,0.3,,64,External reader diagnostic with retrieval context
D_external_reader_locomo_qwen25_coder_1p5b_timebound_rag,D_external_diagnostics,llm,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,timebound_rag,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,,,,3,0.6,0.3,0.3,,64,External reader diagnostic with retrieval context
D_external_reader_locomo_qwen25_coder_7b_semantic_rag,D_external_diagnostics,llm,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,semantic_rag,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,,,,3,0.6,0.3,0.3,,64,External reader diagnostic with retrieval context
D_external_reader_locomo_qwen25_coder_7b_timebound_rag,D_external_diagnostics,llm,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,timebound_rag,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,,,,3,0.6,0.3,0.3,,64,External reader diagnostic with retrieval context
D_external_reader_locomo_qwen25_7b_semantic_rag,D_external_diagnostics,llm,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,semantic_rag,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,,,,3,0.6,0.3,0.3,,64,External reader diagnostic with retrieval context
D_external_reader_locomo_qwen25_7b_timebound_rag,D_external_diagnostics,llm,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,timebound_rag,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,,,,3,0.6,0.3,0.3,,64,External reader diagnostic with retrieval context
D_external_reader_locomo_mistral_7b_v03_semantic_rag,D_external_diagnostics,llm,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,semantic_rag,mistral_7b_v03,models/mistralai__Mistral-7B-Instruct-v0.3,,,,3,0.6,0.3,0.3,,64,External reader diagnostic with retrieval context
D_external_reader_locomo_mistral_7b_v03_timebound_rag,D_external_diagnostics,llm,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,timebound_rag,mistral_7b_v03,models/mistralai__Mistral-7B-Instruct-v0.3,,,,3,0.6,0.3,0.3,,64,External reader diagnostic with retrieval context
